SISJ0219_OS_RE1,SISJ0219_BLOOD,SISJ0219_OS_RE1
SISJ0252_OS_RE1,SISJ0252_BLOOD,SISJ0252_OS_RE1
SISJ0252_OS_RE2,SISJ0252_BLOOD,SISJ0252_OS_RE2
SISJ0326_OS_RE1,SISJ0326_SALIVA,SISJ0326_OS_RE1
SISJ0353_OS_RE1,SISJ0353_BLOOD,SISJ0353_OS_RE1
SISJ0353_OS_RE2,SISJ0353_BLOOD,SISJ0353_OS_RE2
SISJ0410_OS_T,SISJ0410_BLOOD,SISJ0410_OS_T
SISJ0577_OS_T,SISJ0577_BLOOD,SISJ0577_OS_T
TC0021_OS_RE1,TC0021_BLOOD,TC0021_OS_RE1
TC0026_OS_RE1,TC0026_BLOOD,TC0026_OS_RE1
TC0051_OS_RE1,TC0051_BLOOD,TC0051_OS_RE1
TC0059_OS_RE1,TC0059_BLOOD,TC0059_OS_RE1
TC0166_OS_RE1,TC0166_BLOOD,TC0166_OS_RE1
TC0166_OS_RE2,TC0166_BLOOD,TC0166_OS_RE2
TC0176_OS_RE1,TC0176_BLOOD,TC0176_OS_RE1
TC0186_OS_RE1,TC0186_BLOOD,TC0186_OS_RE1
TC0186_OS_RE2,TC0186_BLOOD,TC0186_OS_RE2
